county_id,city_id,id,y_2010_occupied,y_2013_occupied,y_2010_vacant,y_2013_vacant
37081,1,136011,425,346,51,65
37081,1,136012,158,134,62,11
37081,1,136021,470,564,197,119
37081,1,136022,289,290,42,0
37081,1,136023,449,375,67,53
37081,1,136024,414,488,73,22
37081,1,137001,436,631,78,93
37081,1,137002,313,241,50,74
37081,1,137003,342,281,34,29
37081,1,137004,278,251,29,27
37081,1,137005,345,290,44,6
37081,1,138001,305,314,77,47
37081,1,138002,307,292,81,60
37081,1,138003,249,222,43,47
37081,1,138004,254,255,31,39
37081,1,138005,658,653,185,181
37081,1,139001,264,265,27,73
37081,1,139002,482,431,85,72
37081,1,139003,295,274,104,88
37081,1,139004,619,610,138,206
37081,1,140001,419,359,148,120
37081,1,140002,753,804,117,160
37081,1,142001,360,298,72,139
37081,1,142002,283,280,65,21
37081,1,142003,347,347,90,148
37081,1,142004,240,319,82,22
37081,1,143001,267,166,59,158
37081,1,143002,261,279,66,31
37081,1,143003,406,387,79,149
37081,1,143004,270,272,48,48
37081,1,145011,299,320,57,42
37081,1,145012,206,234,33,19
