id,y_2015_Resident_Tax,y_2015_Non_Resident_Tax,y_2015_SFR_Tax,y_2000_Medain_Value,y_2013_Median_Value
136011,47539.84,19134.15,47210.37,59900,78600
136012,23458.59,25574.19,22373.86,76700,107100
136021,51506.27,117248.15,51957.34,64000,77600
136022,57482.82,4800,58471.06,83200,130300
136023,68912.48,237894.73,68795.7,81800,89200
136024,55540.44,818017.65,55155.01,67300,86800
137001,201888.47,313541.67,223706.83,91700,240400
137002,157122.89,235386.99,183441.19,116200,124500
137003,94635.69,275991.23,94161.28,169100,150500
137004,273223.88,793966.67,273371.32,87800,251800
137005,123388.79,387910.79,121391.49,156700,141400
138001,37834.17,92365.96,39273.06,65900,74300
138002,43819.1,10483.33,47035.76,56800,73200
138003,53047.26,0,54841.64,46400,73600
138004,30421.62,8816.67,40422.45,57800,0
138005,49038.75,397977.89,46927.13,54500,86700
139001,72073.12,1746829.41,31064.81,55700,0
139002,20353.87,1833020.24,23251.44,40000,66800
139003,25186.38,63590.79,29913.78,31600,65000
139004,44354.09,21900,38834.06,54500,59400
140001,64484.31,201161.3,64901.12,78700,64000
140002,60751.21,227641,66988.63,57700,71300
142001,39478.81,83146.67,43194.39,49300,72000
142002,46612.3,197944.44,47738.69,46400,57600
142003,34556.5,275296.88,42986.27,44300,78500
142004,40109.94,387272.45,36609.88,10000,0
143001,34088.32,151711.57,37685.57,43600,55400
143002,53050.27,607046.99,41156.5,58900,0
143003,32943.4,62348.53,32871.84,40500,33900
143004,43212.61,189489.36,34968.66,44600,92900
145011,48232.94,453484.5,53145.33,65000,67500
145012,40138.25,327835.29,44964.58,56700,75000
