id,y_2010,y_2013
136011,110,-25
136012,442,-426
136021,-355,418
136022,-78,-7
136023,-42,-202
136024,-8,102
137001,152,388
137002,-19,-216
137003,-332,-77
137004,108,-35
137005,-145,-183
138001,205,-55
138002,-116,-26
138003,-28,-189
138004,-1048,5
138005,0,-264
139001,-1250,30
139002,442,-104,
139003,-216,32
139004,951,265
140001,-170,-29
140002,354,213
142001,374,-199
142002,-118,-17
142003,-49,129
142004,167,244
143001,-289,-280
143002,29,28
143003,-3,-65
143004,-51,-177
145011,-76,1
145012,0,77
