id,y_2010_occupied,y_2013_occupied,y_2010_vacant,y_2013_vacant
136011,425,346,51,65
136012,158,134,62,11
136021,470,564,197,119
136022,289,290,42,0
136023,449,375,67,53
136024,414,488,73,22
137001,436,631,78,93
137002,313,241,50,74
137003,342,281,34,29
137004,278,251,29,27
137005,345,290,44,6
138001,305,314,77,47
138002,307,292,81,60
138003,249,222,43,47
138004,254,255,31,39
138005,658,653,185,181
139001,264,265,27,73
139002,482,431,85,72
139003,295,274,104,88
139004,619,610,138,206
140001,419,359,148,120
140002,753,804,117,160
142001,360,298,72,139
142002,283,280,65,21
142003,347,347,90,148
142004,240,319,82,22
143001,267,166,59,158
143002,261,279,66,31
143003,406,387,79,149
143004,270,272,48,48
145011,299,320,57,42
145012,206,234,33,19
