id,y_2000,y_2010,y_2013,y_2010_change,y_2013_change,y_2010_change_percentage,y_2013_change_percentage
136011,1667,1777,1752,110,-25,0.07,-0.01
136012,873,1315,889,442,-426,0.51,-0.32
136021,1507,1152,1570,-355,418,-0.24,0.36
136022,836,758,751,-78,-7,-0.09,-0.01
136023,1201,1159,957,-42,-202,-0.03,-0.17
136024,1077,1069,1171,-8,102,-0.01,0.1
137001,864,1016,1404,152,388,0.18,0.38
137002,744,725,509,-19,-216,-0.03,-0.3
137003,1167,835,758,-332,-77,-0.28,-0.09
137004,542,650,615,108,-35,0.2,-0.05
137005,1060,915,732,-145,-183,-0.14,-0.2
138001,754,959,904,205,-55,0.27,-0.06
138002,844,728,702,-116,-26,-0.14,-0.04
138003,648,620,431,-28,-189,-0.04,-0.3
138004,1664,616,621,-1048,5,-0.63,0.01
138005,0,1762,1498,0,-264,0,-0.15
139001,1894,644,674,-1250,30,-0.66,0.05
139002,847,1289,1185,442,-104,0.52,-0.08
139003,1007,791,823,-216,32,-0.21,0.04
139004,834,1785,2050,951,265,1.14,0.15
140001,1263,1093,1064,-170,-29,-0.13,-0.03
140002,1632,1986,2199,354,213,0.22,0.11
142001,637,1011,812,374,-199,0.59,-0.2
142002,887,769,752,-118,-17,-0.13,-0.02
142003,1051,1002,1131,-49,129,-0.05,0.13
142004,554,721,965,167,244,0.3,0.34
143001,1012,723,443,-289,-280,-0.29,-0.39
143002,726,755,783,29,28,0.04,0.04
143003,873,870,805,-3,-65,0,-0.07
143004,748,697,520,-51,-177,-0.07,-0.25
145011,759,683,684,-76,1,-0.1,0
145012,617,617,694,0,77,0,0.12
